World_Bank_Income_Group,Region,Country,ISO3,Subgroup,Indicator,DQQ_Question,Indicator_Number,Unit,Mean,Lower_95_CI,Upper_95_CI,n,Start_Date,End_Date,Start_Year,End_Year
Low income,Asia Pacific,Afghanistan,AFG,Female,GDR score,NA,9,Score,10.01,9.84,10.18,996,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,GDR score,NA,9,Score,10.2,10.02,10.38,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,GDR score,NA,9,Score,10.02,9.83,10.2,906,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,At least one starchy staple food,NA,10,Percentage,97.94,96.58,98.96,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,At least one starchy staple food,NA,10,Percentage,99.58,98.61,99.88,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,At least one starchy staple food,NA,10,Percentage,96.33,93.12,98.07,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,At least one starchy staple food,NA,10,Percentage,97.94,95.01,99.16,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,At least one starchy staple food,NA,10,Percentage,97.94,95.53,99.06,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Whole grains,DQQ2,11,Percentage,12.21,7.71,17.58,2001,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Whole grains,DQQ2,11,Percentage,13.65,8.51,21.17,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Whole grains,DQQ2,11,Percentage,10.81,6.41,17.66,1001,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Whole grains,DQQ2,11,Percentage,14.79,8.57,24.33,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Whole grains,DQQ2,11,Percentage,9.46,5.75,15.17,911,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Foods made from grains,DQQ1,12,Percentage,94.73,91.64,97.15,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Foods made from grains,DQQ1,12,Percentage,97.41,90.41,99.34,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Foods made from grains,DQQ1,12,Percentage,92.1,86.86,95.37,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Foods made from grains,DQQ1,12,Percentage,93.52,87.39,96.78,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Foods made from grains,DQQ1,12,Percentage,96.03,92.32,97.99,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,"White roots, tubers, or plantains",DQQ3,13,Percentage,51.76,46.57,56.92,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,"White roots, tubers, or plantains",DQQ3,13,Percentage,53.79,48.07,59.41,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,"White roots, tubers, or plantains",DQQ3,13,Percentage,49.76,41.96,57.58,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,"White roots, tubers, or plantains",DQQ3,13,Percentage,54.73,47.72,61.55,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,"White roots, tubers, or plantains",DQQ3,13,Percentage,48.58,41.53,55.69,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,"At least one whole grain, pulse, nut or seed",NA,14,Percentage,46.92,39.61,54.29,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,"At least one whole grain, pulse, nut or seed",NA,14,Percentage,51.74,43.45,59.95,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,"At least one whole grain, pulse, nut or seed",NA,14,Percentage,42.18,34.28,50.5,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,"At least one whole grain, pulse, nut or seed",NA,14,Percentage,52.15,42.44,61.7,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,"At least one whole grain, pulse, nut or seed",NA,14,Percentage,41.33,32.44,50.82,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,"At least one pulse, nut, or seed",NA,15,Percentage,39.54,32.56,46.75,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,"At least one pulse, nut, or seed",NA,15,Percentage,42.92,35.56,50.61,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,"At least one pulse, nut, or seed",NA,15,Percentage,36.22,28.63,44.57,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,"At least one pulse, nut, or seed",NA,15,Percentage,43.76,34.46,53.52,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,"At least one pulse, nut, or seed",NA,15,Percentage,35.03,26.24,44.98,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Pulses,DQQ4,16,Percentage,30.99,25.71,36.53,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Pulses,DQQ4,16,Percentage,32.48,27.27,38.16,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Pulses,DQQ4,16,Percentage,29.53,23.21,36.76,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Pulses,DQQ4,16,Percentage,33.16,27,39.97,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Pulses,DQQ4,16,Percentage,28.67,20.77,38.13,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Nuts or seeds,DQQ21,17,Percentage,14.55,9.32,20.72,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Nuts or seeds,DQQ21,17,Percentage,17.1,11.06,25.5,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Nuts or seeds,DQQ21,17,Percentage,12.05,7.36,19.11,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Nuts or seeds,DQQ21,17,Percentage,17.42,9.95,28.71,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Nuts or seeds,DQQ21,17,Percentage,11.48,7.3,17.61,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Zero vegetable or fruit consumption,NA,18,Percentage,14.95,10.91,19.5,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Zero vegetable or fruit consumption,NA,18,Percentage,10.07,6.67,14.92,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Zero vegetable or fruit consumption,NA,18,Percentage,19.74,14.56,26.2,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Zero vegetable or fruit consumption,NA,18,Percentage,12.56,9.19,16.93,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Zero vegetable or fruit consumption,NA,18,Percentage,17.51,11.06,26.6,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,At least one vegetable,NA,19,Percentage,78.3,72.92,83.23,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,At least one vegetable,NA,19,Percentage,84,77.57,88.85,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,At least one vegetable,NA,19,Percentage,72.7,65.5,78.88,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,At least one vegetable,NA,19,Percentage,81,75.7,85.36,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,At least one vegetable,NA,19,Percentage,75.41,65.3,83.33,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Vitamin A-rich orange vegetables,DQQ5,20,Percentage,9.83,6.92,13.18,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Vitamin A-rich orange vegetables,DQQ5,20,Percentage,10.5,7.64,14.28,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Vitamin A-rich orange vegetables,DQQ5,20,Percentage,9.16,5.72,14.37,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Vitamin A-rich orange vegetables,DQQ5,20,Percentage,8.01,5.64,11.24,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Vitamin A-rich orange vegetables,DQQ5,20,Percentage,11.77,7.21,18.64,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Dark green leafy vegetables,DQQ6,21,Percentage,17.41,11.46,24.3,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Dark green leafy vegetables,DQQ6,21,Percentage,19.11,12.89,27.37,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Dark green leafy vegetables,DQQ6,21,Percentage,15.74,9.88,24.15,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Dark green leafy vegetables,DQQ6,21,Percentage,20.65,12.36,32.43,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Dark green leafy vegetables,DQQ6,21,Percentage,13.95,8.95,21.09,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Other vegetables,DQQ7,22,Percentage,74.09,68.81,79.04,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Other vegetables,DQQ7,22,Percentage,80.35,74.16,85.36,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Other vegetables,DQQ7,22,Percentage,67.94,60.86,74.28,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Other vegetables,DQQ7,22,Percentage,76.32,70.21,81.51,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Other vegetables,DQQ7,22,Percentage,71.71,62.51,79.39,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,At least one fruit,NA,23,Percentage,47.86,41.66,54.09,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,At least one fruit,NA,23,Percentage,52.97,46.53,59.32,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,At least one fruit,NA,23,Percentage,42.84,35.72,50.27,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,At least one fruit,NA,23,Percentage,48.58,39.83,57.43,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,At least one fruit,NA,23,Percentage,47.08,38.84,55.48,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Vitamin A-rich fruits,DQQ8,24,Percentage,16.94,13.11,21.15,2001,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Vitamin A-rich fruits,DQQ8,24,Percentage,17.12,12.67,22.74,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Vitamin A-rich fruits,DQQ8,24,Percentage,16.77,12.23,22.55,1001,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Vitamin A-rich fruits,DQQ8,24,Percentage,16.82,12.51,22.22,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Vitamin A-rich fruits,DQQ8,24,Percentage,17.08,11.78,24.11,911,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Citrus,DQQ9,25,Percentage,2.64,0.54,6.25,2001,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Citrus,DQQ9,25,Percentage,2.78,0.81,9.11,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Citrus,DQQ9,25,Percentage,2.51,0.89,6.86,1001,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Citrus,DQQ9,25,Percentage,4.22,1.14,14.37,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Citrus,DQQ9,25,Percentage,0.96,0.28,3.22,911,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Other fruits,DQQ10,26,Percentage,42.22,35.6,48.98,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Other fruits,DQQ10,26,Percentage,47.41,40.48,54.45,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Other fruits,DQQ10,26,Percentage,37.12,29.42,45.53,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Other fruits,DQQ10,26,Percentage,42.22,33.01,52,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Other fruits,DQQ10,26,Percentage,42.22,34.66,50.16,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,At least one animal-source food,NA,27,Percentage,73.49,67.24,79.3,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,At least one animal-source food,NA,27,Percentage,78.96,73.16,83.78,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,At least one animal-source food,NA,27,Percentage,68.12,58.8,76.19,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,At least one animal-source food,NA,27,Percentage,72.12,63.55,79.33,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,At least one animal-source food,NA,27,Percentage,74.95,66.1,82.12,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Dairy,NA,28,Percentage,63.8,56.63,70.67,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Dairy,NA,28,Percentage,67.77,61.38,73.56,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Dairy,NA,28,Percentage,59.9,50.23,68.86,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Dairy,NA,28,Percentage,61.52,51.65,70.53,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Dairy,NA,28,Percentage,66.23,57.08,74.3,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Milk,DQQ25,29,Percentage,21.02,16.17,26.33,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Milk,DQQ25,29,Percentage,21.5,16.29,27.83,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Milk,DQQ25,29,Percentage,20.55,15.31,27.02,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Milk,DQQ25,29,Percentage,18.14,12.51,25.56,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Milk,DQQ25,29,Percentage,24.1,17.95,31.56,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Yogurt,DQQ15,30,Percentage,57.01,49.92,63.97,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Yogurt,DQQ15,30,Percentage,60.22,53.61,66.47,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Yogurt,DQQ15,30,Percentage,53.87,45,62.51,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Yogurt,DQQ15,30,Percentage,55.91,46.42,64.99,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Yogurt,DQQ15,30,Percentage,58.2,49.19,66.69,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Cheese,DQQ14,31,Percentage,8.6,5.16,12.82,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Cheese,DQQ14,31,Percentage,8.51,5.44,13.07,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Cheese,DQQ14,31,Percentage,8.69,5.09,14.46,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Cheese,DQQ14,31,Percentage,5.24,3.42,7.94,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Cheese,DQQ14,31,Percentage,12.2,6.38,22.08,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Eggs,DQQ13,32,Percentage,20.32,15.25,25.91,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Eggs,DQQ13,32,Percentage,20.79,16.76,25.48,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Eggs,DQQ13,32,Percentage,19.86,13.39,28.43,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Eggs,DQQ13,32,Percentage,22.32,16.21,29.93,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Eggs,DQQ13,32,Percentage,18.18,11.51,27.51,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,"Meat, poultry, or fish",NA,33,Percentage,24.89,18.81,31.51,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,"Meat, poultry, or fish",NA,33,Percentage,28.08,21.48,35.8,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,"Meat, poultry, or fish",NA,33,Percentage,21.75,15.07,30.32,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,"Meat, poultry, or fish",NA,33,Percentage,23.65,15.95,33.58,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,"Meat, poultry, or fish",NA,33,Percentage,26.2,18.48,35.73,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Fish or seafood,DQQ20,34,Percentage,0.59,0.24,1.09,1999,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Fish or seafood,DQQ20,34,Percentage,0.85,0.38,1.89,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Fish or seafood,DQQ20,34,Percentage,0.33,0.12,0.92,999,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Fish or seafood,DQQ20,34,Percentage,0.15,0.03,0.8,1090,2022_07_20,2023_07_19,2022,2023
